trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.1, 'e': 0.022467088258818435}",20,13,15.814722546895293,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.1, 'e': 0.02134373384587751}",20,0,27.028476904784178,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.1, 'e': 0.020276547153583634}",20,3,25.587215897839474,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.1, 'e': 0.01926271979590445}",25,8,26.02647688865287,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.1, 'e': 0.01829958380610923}",20,10,13.61311960440211,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.1, 'e': 0.017384604615803767}",20,0,3.6540028488185867,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
80,False,"{'a': 0.1, 'e': 0.01651537438501358}",25,15,-35.06937019928587,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
81,False,"{'a': 0.1, 'e': 0.0156896056657629}",25,14,17.123305792327432,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.1, 'e': 0.014905125382474753}",25,0,8.088223658085724,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
83,False,"{'a': 0.1, 'e': 0.014159869113351015}",20,0,22.789137335085414,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
