trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.1, 'e': 0.0015601784194296012}",30,18,21.855585750727997,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.1, 'e': 0.0014821694984581211}",20,5,24.263261728914124,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.1, 'e': 0.001408061023535215}",20,8,21.606242074913496,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.1, 'e': 0.001337657972358454}",25,10,21.46295353840818,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.0012707750737405313}",25,6,5.674555154358648,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
131,False,"{'a': 0.1, 'e': 0.0012072363200535047}",25,14,18.91484990313874,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.1, 'e': 0.0011468745040508295}",25,0,38.71575660839741,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.1, 'e': 0.001089530778848288}",25,0,32.58739437428074,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.1, 'e': 0.0010350542399058735}",25,17,15.271212228841668,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.1, 'e': 0.0009833015279105798}",20,8,17.465222041694147,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.1, 'e': 0.0009341364515150507}",20,2,3.543614007658866,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
137,False,"{'a': 0.1, 'e': 0.0008874296289392981}",20,9,18.948003195531378,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.1, 'e': 0.0008430581474923332}",30,21,16.60583767572326,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.1, 'e': 0.0008009052401177165}",30,21,14.426138268259585,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.1, 'e': 0.0007608599781118307}",20,8,19.475009850495802,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.1, 'e': 0.000722816979206239}",25,18,12.724877625390665,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.1, 'e': 0.0006866761302459271}",20,2,26.7152581923792,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.1, 'e': 0.0006523423237336307}",20,0,20.151610981381527,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
144,False,"{'a': 0.1, 'e': 0.0006197252075469491}",30,16,19.212606289330978,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.1, 'e': 0.0005887389471696016}",25,17,14.91945553072904,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.1, 'e': 0.0005593019998111216}",20,9,15.942863783258552,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.1, 'e': 0.0005313368998205655}",20,0,24.586479595665644,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.1, 'e': 0.0005047700548295372}",20,8,23.098189678480043,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.1, 'e': 0.00047953155208806027}",25,10,23.10014656120608,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.1, 'e': 0.00045555497448365723}",25,10,25.31360161084223,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.1, 'e': 0.00043277722575947434}",20,14,10.97767387442983,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.1, 'e': 0.00041113836447150063}",30,0,37.57787751649853,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
153,False,"{'a': 0.1, 'e': 0.0003905814462479256}",25,2,28.4350051546811,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.1, 'e': 0.00037105237393552927}",20,0,20.568738217218083,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.1, 'e': 0.0003524997552387528}",20,0,23.57193477525776,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.1, 'e': 0.00033487476747681515}",20,13,13.486446771147678,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.1, 'e': 0.00031813102910297435}",25,17,16.265951641199397,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.1, 'e': 0.0003022244776478256}",20,5,23.827315890192352,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.1, 'e': 0.00028711325376543437}",20,0,25.990435409905505,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.1, 'e': 0.00027275759107716263}",20,9,16.507173507669904,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.1, 'e': 0.00025911971152330445}",20,0,26.38958685523502,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
162,False,"{'a': 0.1, 'e': 0.00024616372594713924}",20,0,28.67805393047883,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.1, 'e': 0.00023385553964978226}",20,0,26.922212510926578,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.1, 'e': 0.00022216276266729315}",25,9,21.208725033696297,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.1, 'e': 0.00021105462453392847}",25,7,23.962332080237072,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.1, 'e': 0.00020050189330723204}",25,14,17.803880872879983,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.1, 'e': 0.00019047679864187043}",20,0,25.33610176881677,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.1, 'e': 0.0001809529587097769}",30,17,11.322336629848376,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.1, 'e': 0.00017190531077428806}",20,0,16.51613097824605,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.1, 'e': 0.00016331004523557362}",25,8,27.84281969570491,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.1, 'e': 0.00015514454297379493}",20,14,11.212228561344357,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.1, 'e': 0.00014738731582510518}",25,0,34.82046850927013,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.1, 'e': 0.0001400179500338499}",20,6,26.300355371268104,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.1, 'e': 0.00013301705253215742}",20,0,29.963406661451675,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.1, 'e': 0.00012636619990554954}",20,16,7.362085629675598,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.1, 'e': 0.00012004788991027206}",25,0,36.82781217181551,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.1, 'e': 0.00011404549541475845}",25,17,13.323640868209203,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.1, 'e': 0.00010834322064402053}",25,0,33.40664755058653,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.1, 'e': 0.00010292605961181949}",20,0,21.298711750093798,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
180,False,"{'a': 0.1, 'e': 9.777975663122851e-05}",20,9,18.874003561932305,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",35,22,19.169186287671135,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,24,8.929200780951835,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,1,35.12325597533282,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,18,17.89909154059605,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,8,29.752432300193494,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,3,31.983717342162773,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,16,8.434165907583271,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,32.21056491779504,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,28.184205167434747,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,10,12.500436008626473,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
